2.16.82.0,,2.16.83.255,,GTT Communications
31.13.30.244,,31.13.30.245,,Facebook 
31.13.30.251,,31.13.30.251,,Facebook 
31.13.31.10,,31.13.31.11,,Facebook 
31.13.31.14,,31.13.31.17,,Facebook 
31.13.31.90,,31.13.31.93,,Facebook 
31.13.31.106,,31.13.31.107,,Facebook 
31.13.31.164,,31.13.31.165,,Facebook 
31.13.31.178,,31.13.31.178,,Facebook 
31.13.31.190,,31.13.31.191,,Facebook 
31.13.31.196,,31.13.31.197,,Facebook 
31.13.31.209,,31.13.31.209,,Facebook 
31.13.31.222,,31.13.31.223,,Facebook 
31.13.31.236,,31.13.31.236,,Facebook 
31.13.31.238,,31.13.31.241,,Facebook 
31.13.73.0,,31.13.73.0,,Facebook 
31.13.73.8,,31.13.73.8,,Facebook 
31.13.73.11,,31.13.73.12,,Facebook 
31.13.73.15,,31.13.73.15,,Facebook 
31.13.73.18,,31.13.73.18,,Facebook 
31.13.73.22,,31.13.73.22,,Facebook 
31.13.73.24,,31.13.73.24,,Facebook 
31.13.73.27,,31.13.73.27,,Facebook 
31.13.73.29,,31.13.73.31,,Facebook 
31.13.73.39,,31.13.73.39,,Facebook 
31.13.73.42,,31.13.73.47,,Facebook 
31.13.73.55,,31.13.73.168,,Facebook 
31.13.73.172,,31.13.73.255,,Facebook 
31.22.86.224,,31.22.86.239,,Schuberg Philis 
31.25.80.128,,31.25.80.255,,Adobe Systems Software Ireland 
31.25.82.0,,31.25.82.255,,Adobe Systems Software Ireland 
31.25.83.32,,31.25.86.255,,Adobe Systems Software Ireland 
31.25.87.16,,31.25.87.255,,Adobe Systems Software Ireland 
31.169.96.0,,31.169.103.255,,Turbo Leisure
31.170.0.0,,31.170.7.255,,Adelphi Net1
31.186.32.0,,31.186.39.255,,Permanet 
31.187.0.0,,31.187.63.255,,Liberty Global 
31.193.216.0,,31.193.222.255,,Airspeed Communications 
31.200.128.0,,31.200.191.255,,Three Ireland 
31.216.232.0,,31.216.232.3,,Airfibre 
31.216.232.24,,31.216.232.31,,Airfibre 
31.216.232.44,,31.216.232.47,,Airfibre 
31.216.232.56,,31.216.236.55,,Airfibre 
31.216.236.120,,31.216.236.127,,Airfibre 
31.216.236.160,,31.216.239.255,,Airfibre 
31.217.240.0,,31.217.247.255,,Aptus
32.42.29.184,,32.42.29.191,,AT&T 
34.240.0.0,,34.255.255.255,,Amazon
37.0.0.0,,37.0.3.255,,Workday 
37.0.7.0,,37.0.7.255,,Workday 
37.0.116.0,,37.0.117.255,,Pure Storage 
37.18.144.0,,37.18.151.255,,Ryanair 
37.19.96.0,,37.19.103.255,,Skylogic 
37.25.136.0,,37.25.143.255,,Vodafone Italia 
37.25.160.0,,37.25.167.255,,Vodafone Italia 
37.25.192.0,,37.25.211.255,,Vodafone Italia 
37.25.252.0,,37.25.255.255,,Vodafone Italia 
37.46.16.0,,37.46.23.255,,Skytel Networks Ireland 
37.110.216.0,,37.110.223.255,,Interfusion Networks 
37.128.192.0,,37.128.199.255,,Permanet 
37.203.48.0,,37.203.55.255,,Premier Data Networks 
37.203.192.0,,37.203.199.255,,Skylogic 
37.228.192.0,,37.228.255.255,,Liberty Global 
37.252.231.0,,37.252.231.255,,ANEXIA 
38.1.10.112,,38.1.10.112,,Cogent Communications
38.28.1.44,,38.28.1.44,,Cogent Communications
38.28.1.64,,38.28.1.64,,Cogent Communications
38.28.1.77,,38.28.1.77,,Cogent Communications
38.28.1.248,,38.28.1.248,,Cogent Communications
40.67.224.0,,40.67.255.255,,Microsoft 
40.69.0.0,,40.69.95.255,,Microsoft 
40.69.192.0,,40.69.223.255,,Microsoft 
40.69.227.0,,40.69.228.255,,Microsoft 
40.77.133.0,,40.77.133.255,,Microsoft 
40.77.136.32,,40.77.136.47,,Microsoft 
40.77.136.80,,40.77.136.95,,Microsoft 
40.77.162.0,,40.77.162.255,,Microsoft 
40.77.174.0,,40.77.174.255,,Microsoft 
40.77.175.160,,40.77.175.191,,Microsoft 
40.77.182.96,,40.77.182.127,,Microsoft 
40.77.226.128,,40.77.226.255,,Microsoft 
40.77.229.0,,40.77.229.255,,Microsoft 
40.77.234.160,,40.77.234.191,,Microsoft 
40.77.236.0,,40.77.236.31,,Microsoft 
40.78.211.0,,40.78.212.255,,Microsoft 
40.80.4.0,,40.80.7.255,,Microsoft 
40.85.0.0,,40.85.143.255,,Microsoft 
40.87.128.0,,40.87.159.255,,Microsoft 
40.87.188.0,,40.87.191.255,,Microsoft 
40.90.129.192,,40.90.129.223,,Microsoft 
40.90.133.64,,40.90.133.95,,Microsoft 
40.90.136.176,,40.90.136.191,,Microsoft 
40.90.137.192,,40.90.137.223,,Microsoft 
40.90.141.96,,40.90.141.159,,Microsoft 
40.90.145.0,,40.90.145.31,,Microsoft 
40.90.145.224,,40.90.145.255,,Microsoft 
40.90.148.160,,40.90.148.175,,Microsoft 
40.90.149.128,,40.90.149.255,,Microsoft 
40.91.20.0,,40.91.23.255,,Microsoft 
40.100.172.0,,40.100.173.255,,Microsoft 
40.107.11.0,,40.107.11.255,,Microsoft 
40.108.163.0,,40.108.163.255,,Microsoft 
40.108.180.0,,40.108.180.255,,Microsoft 
40.108.216.0,,40.108.216.255,,Microsoft 
40.108.232.0,,40.108.232.255,,Microsoft 
40.112.0.0,,40.112.31.255,,Microsoft 
40.112.36.0,,40.112.36.127,,Microsoft 
40.112.37.64,,40.112.37.127,,Microsoft 
40.112.64.0,,40.112.95.255,,Microsoft 
40.113.0.0,,40.113.95.255,,Microsoft 
40.115.96.0,,40.115.127.255,,Microsoft 
40.126.1.0,,40.126.1.255,,Microsoft 
40.127.96.0,,40.127.111.255,,Microsoft 
40.127.115.0,,40.127.116.255,,Microsoft 
40.127.128.0,,40.127.255.255,,Microsoft 
43.229.159.0,,43.229.159.0,,Shire Pharmaceuticals 
44.155.0.0,,44.155.255.255,,HEAnet 
46.7.0.0,,46.7.254.255,,Liberty Global 
46.17.32.0,,46.17.39.255,,Sprint
46.19.208.0,,46.19.209.255,,DIDWW Ireland 
46.19.215.0,,46.19.215.255,,DIDWW Ireland 
46.22.128.0,,46.22.143.255,,Blacknight Internet Solutions 
46.33.90.0,,46.33.90.255,,GTT Communications 
46.34.91.240,,46.34.91.255,,Tellcom Iletisim Hizmetleri 
46.51.128.0,,46.51.215.255,,Amazon 
46.102.154.0,,46.102.154.255,,GTT Communications 
46.102.181.0,,46.102.181.255,,GTT Communications 
46.137.0.0,,46.137.191.255,,Amazon
46.182.8.0,,46.182.15.255,,Network Ability 
46.228.32.1,,46.228.32.6,,Yahoo! 
46.228.32.32,,46.228.32.33,,Yahoo! 
46.228.32.36,,46.228.32.38,,Yahoo! 
46.228.32.40,,46.228.32.47,,Yahoo! 
46.228.32.49,,46.228.32.60,,Yahoo! 
46.228.32.64,,46.228.32.127,,Yahoo! 
46.228.34.1,,46.228.34.6,,Yahoo! 
46.228.34.24,,46.228.34.26,,Yahoo! 
46.228.34.197,,46.228.34.198,,Yahoo! 
46.228.34.209,,46.228.34.217,,Yahoo! 
46.228.35.1,,46.228.35.3,,Yahoo! 
46.228.35.5,,46.228.35.6,,Yahoo! 
46.228.35.8,,46.228.35.8,,Yahoo! 
46.228.35.17,,46.228.35.22,,Yahoo! 
46.228.35.32,,46.228.35.33,,Yahoo! 
46.228.35.40,,46.228.35.41,,Yahoo! 
46.228.35.65,,46.228.35.65,,Yahoo! 
46.228.35.72,,46.228.35.72,,Yahoo! 
46.228.35.75,,46.228.35.77,,Yahoo! 
46.228.35.80,,46.228.35.85,,Yahoo! 
46.228.35.129,,46.228.35.131,,Yahoo! 
46.228.35.133,,46.228.35.134,,Yahoo! 
46.228.35.136,,46.228.35.145,,Yahoo! 
46.228.35.147,,46.228.35.176,,Yahoo! 
46.228.35.180,,46.228.35.181,,Yahoo! 
46.228.35.189,,46.228.35.190,,Yahoo! 
46.228.35.253,,46.228.35.254,,Yahoo! 
46.228.36.1,,46.228.36.6,,Yahoo! 
46.228.36.32,,46.228.36.33,,Yahoo! 
46.228.36.35,,46.228.36.35,,Yahoo! 
46.228.36.37,,46.228.36.128,,Yahoo! 
46.228.36.130,,46.228.36.138,,Yahoo! 
46.228.36.143,,46.228.36.185,,Yahoo! 
46.228.36.188,,46.228.36.199,,Yahoo! 
46.228.36.212,,46.228.36.223,,Yahoo! 
46.228.36.232,,46.228.36.241,,Yahoo! 
46.228.36.244,,46.228.36.247,,Yahoo! 
46.228.36.249,,46.228.36.251,,Yahoo! 
46.228.37.1,,46.228.37.57,,Yahoo! 
46.228.37.60,,46.228.37.61,,Yahoo! 
46.228.37.70,,46.228.37.70,,Yahoo! 
46.228.37.80,,46.228.37.81,,Yahoo! 
46.228.37.89,,46.228.37.91,,Yahoo! 
46.228.37.99,,46.228.37.101,,Yahoo! 
46.228.37.108,,46.228.37.117,,Yahoo! 
46.228.37.198,,46.228.37.244,,Yahoo! 
46.228.37.246,,46.228.37.247,,Yahoo! 
46.228.37.253,,46.228.37.253,,Yahoo! 
46.228.38.1,,46.228.38.6,,Yahoo! 
46.228.38.33,,46.228.38.88,,Yahoo! 
46.228.38.101,,46.228.38.184,,Yahoo! 
46.228.38.225,,46.228.38.254,,Yahoo! 
46.228.39.1,,46.228.39.29,,Yahoo! 
46.228.39.32,,46.228.39.113,,Yahoo! 
46.228.39.118,,46.228.39.131,,Yahoo! 
46.228.39.136,,46.228.39.152,,Yahoo! 
46.228.39.155,,46.228.39.159,,Yahoo! 
46.228.39.161,,46.228.39.161,,Yahoo! 
46.228.39.190,,46.228.39.191,,Yahoo! 
46.228.39.198,,46.228.39.198,,Yahoo! 
46.228.39.202,,46.228.39.204,,Yahoo! 
46.228.39.206,,46.228.39.223,,Yahoo! 
46.228.39.225,,46.228.39.225,,Yahoo! 
46.228.39.229,,46.228.39.230,,Yahoo! 
46.228.40.1,,46.228.40.6,,Yahoo! 
46.228.40.52,,46.228.40.54,,Yahoo! 
46.228.40.84,,46.228.40.90,,Yahoo! 
46.228.40.93,,46.228.40.103,,Yahoo! 
46.228.40.108,,46.228.40.110,,Yahoo! 
46.228.40.115,,46.228.40.117,,Yahoo! 
46.228.40.128,,46.228.40.176,,Yahoo! 
46.228.40.178,,46.228.40.181,,Yahoo! 
46.228.40.184,,46.228.40.186,,Yahoo! 
46.228.40.188,,46.228.40.191,,Yahoo! 
46.228.42.1,,46.228.42.4,,Yahoo! 
46.228.42.27,,46.228.42.27,,Yahoo! 
46.228.42.48,,46.228.42.50,,Yahoo! 
46.228.42.56,,46.228.42.62,,Yahoo! 
46.228.42.64,,46.228.42.70,,Yahoo! 
46.228.42.72,,46.228.42.78,,Yahoo! 
46.228.42.80,,46.228.42.86,,Yahoo! 
46.228.42.88,,46.228.42.94,,Yahoo! 
46.228.42.96,,46.228.42.102,,Yahoo! 
46.228.42.104,,46.228.42.110,,Yahoo! 
46.228.42.112,,46.228.42.118,,Yahoo! 
46.228.42.120,,46.228.42.126,,Yahoo! 
46.228.42.128,,46.228.42.134,,Yahoo! 
46.228.42.136,,46.228.42.142,,Yahoo! 
46.228.42.144,,46.228.42.150,,Yahoo! 
46.228.42.152,,46.228.42.158,,Yahoo! 
46.228.42.160,,46.228.42.166,,Yahoo! 
46.228.42.168,,46.228.42.174,,Yahoo! 
46.228.42.176,,46.228.42.182,,Yahoo! 
46.228.42.184,,46.228.42.190,,Yahoo! 
46.228.42.192,,46.228.42.198,,Yahoo! 
46.228.42.200,,46.228.42.206,,Yahoo! 
46.228.43.1,,46.228.43.4,,Yahoo! 
46.228.43.129,,46.228.43.132,,Yahoo! 
46.228.44.1,,46.228.44.4,,Yahoo! 
46.228.45.141,,46.228.45.143,,Yahoo! 
46.228.45.156,,46.228.45.156,,Yahoo! 
46.228.45.159,,46.228.45.159,,Yahoo! 
46.228.45.172,,46.228.45.175,,Yahoo! 
46.228.45.188,,46.228.45.188,,Yahoo! 
46.228.46.1,,46.228.46.8,,Yahoo! 
46.228.46.32,,46.228.46.36,,Yahoo! 
46.228.46.38,,46.228.46.139,,Yahoo! 
46.228.46.141,,46.228.46.142,,Yahoo! 
46.228.46.144,,46.228.46.157,,Yahoo! 
46.228.46.159,,46.228.46.171,,Yahoo! 
46.228.46.173,,46.228.46.178,,Yahoo! 
46.228.46.180,,46.228.46.182,,Yahoo! 
46.228.46.184,,46.228.46.184,,Yahoo! 
46.228.46.186,,46.228.46.197,,Yahoo! 
46.228.46.206,,46.228.46.214,,Yahoo! 
46.228.46.216,,46.228.46.243,,Yahoo! 
46.228.46.246,,46.228.46.247,,Yahoo! 
46.228.47.1,,46.228.47.27,,Yahoo! 
46.228.47.32,,46.228.47.32,,Yahoo! 
46.228.47.34,,46.228.47.36,,Yahoo! 
46.228.47.38,,46.228.47.51,,Yahoo! 
46.228.47.54,,46.228.47.55,,Yahoo! 
46.228.47.64,,46.228.47.70,,Yahoo! 
46.228.47.72,,46.228.47.77,,Yahoo! 
46.228.47.84,,46.228.47.85,,Yahoo! 
46.228.47.90,,46.228.47.91,,Yahoo! 
46.228.47.96,,46.228.47.99,,Yahoo! 
46.228.47.102,,46.228.47.102,,Yahoo! 
46.228.47.109,,46.228.47.110,,Yahoo! 
46.228.47.112,,46.228.47.123,,Yahoo! 
46.228.47.131,,46.228.47.131,,Yahoo! 
46.228.47.150,,46.228.47.150,,Yahoo! 
46.228.47.157,,46.228.47.158,,Yahoo! 
46.228.47.213,,46.228.47.213,,Yahoo! 
46.228.47.216,,46.228.47.216,,Yahoo! 
46.228.47.234,,46.228.47.239,,Yahoo! 
46.228.47.241,,46.228.47.254,,Yahoo! 
46.233.65.0,,46.233.65.255,,Telefonica O2 UK
46.235.108.0,,46.235.108.255,,Virtela Technology Services 
46.243.128.0,,46.243.133.255,,Sungard Availability Services 
46.243.222.0,,46.243.222.255,,M247 
46.244.18.0,,46.244.18.255,,GTT Communications 
46.245.208.0,,46.245.215.255,,Business Recovery Services 
46.255.152.0,,46.255.159.255,,Bitbuzz 
51.37.0.0,,51.37.255.255,,Vodafone Ireland 
51.104.64.0,,51.104.127.255,,Microsoft 
51.171.0.0,,51.171.255.255,,Eircom
52.16.0.0,,52.19.255.255,,Amazon
52.30.0.0,,52.31.255.255,,Amazon
52.46.7.0,,52.46.7.255,,Amazon
52.48.0.0,,52.51.255.255,,Amazon
52.85.196.0,,52.85.201.255,,Amazon
52.92.40.0,,52.92.47.255,,Amazon
52.93.0.0,,52.93.0.255,,Amazon
52.93.2.0,,52.93.2.255,,Amazon
52.93.16.0,,52.93.16.255,,Amazon
52.93.17.16,,52.93.17.17,,Amazon
52.93.18.178,,52.93.18.179,,Amazon
52.93.21.14,,52.93.21.15,,Amazon
52.93.112.34,,52.93.112.35,,Amazon
52.94.5.0,,52.94.5.255,,Amazon
52.94.24.0,,52.94.27.255,,Amazon
52.94.196.0,,52.94.196.255,,Amazon
52.94.216.0,,52.94.223.255,,Amazon
52.94.248.16,,52.94.248.31,,Amazon
52.95.60.0,,52.95.61.255,,Amazon
52.95.104.0,,52.95.107.255,,Amazon
52.95.112.0,,52.95.127.255,,Amazon
52.95.244.0,,52.95.244.255,,Amazon
52.95.255.64,,52.95.255.79,,Amazon
52.97.130.0,,52.97.131.255,,Microsoft 
52.108.240.0,,52.108.247.255,,Microsoft 
52.109.76.0,,52.109.83.255,,Microsoft 
52.112.129.0,,52.112.129.255,,Microsoft 
52.112.160.0,,52.112.160.255,,Microsoft 
52.112.208.0,,52.112.208.255,,Microsoft 
52.114.76.0,,52.114.79.255,,Microsoft 
52.114.96.0,,52.114.103.255,,Microsoft 
52.114.120.0,,52.114.123.255,,Microsoft 
52.115.16.0,,52.115.27.255,,Microsoft 
52.119.192.0,,52.119.195.255,,Amazon
52.119.240.0,,52.119.247.255,,Amazon
52.124.128.0,,52.124.128.255,,Amazon
52.138.128.0,,52.138.255.255,,Microsoft 
52.142.64.0,,52.142.127.255,,Microsoft 
52.143.195.0,,52.143.195.255,,Microsoft 
52.143.209.0,,52.143.209.255,,Microsoft 
52.144.208.64,,52.144.208.255,,Amazon
52.144.210.0,,52.144.210.63,,Amazon
52.144.210.128,,52.144.210.191,,Amazon
52.146.128.0,,52.146.255.255,,Microsoft 
52.155.64.0,,52.155.95.255,,Microsoft 
52.155.128.0,,52.155.255.255,,Microsoft 
52.156.192.0,,52.156.255.255,,Microsoft 
52.158.0.0,,52.158.127.255,,Microsoft 
52.164.0.0,,52.164.255.255,,Microsoft 
52.169.0.0,,52.169.255.255,,Microsoft 
52.178.128.0,,52.178.255.255,,Microsoft 
52.208.0.0,,52.212.248.63,,Amazon
52.212.249.0,,52.215.255.255,,Amazon
52.218.0.0,,52.218.127.255,,Amazon
52.232.148.0,,52.232.148.255,,Microsoft 
52.236.0.0,,52.236.127.255,,Microsoft 
52.239.136.0,,52.239.139.255,,Microsoft 
52.239.205.0,,52.239.205.255,,Microsoft 
52.245.40.0,,52.245.43.255,,Microsoft 
52.245.88.0,,52.245.91.255,,Microsoft 
52.253.184.0,,52.253.187.255,,Microsoft 
54.72.0.0,,54.78.255.255,,Amazon
54.154.0.0,,54.155.255.255,,Amazon
54.170.0.0,,54.171.255.255,,Amazon
54.192.28.0,,54.192.31.255,,Amazon
54.194.0.0,,54.195.255.255,,Amazon
54.216.0.0,,54.217.255.255,,Amazon
54.220.0.0,,54.220.255.255,,Amazon
54.228.0.0,,54.229.255.255,,Amazon
54.230.28.0,,54.230.31.255,,Amazon
54.231.128.0,,54.231.159.255,,Amazon
54.239.0.48,,54.239.0.63,,Amazon
54.239.32.0,,54.239.39.255,,Amazon
54.239.99.0,,54.239.99.255,,Amazon
54.240.4.0,,54.240.4.255,,Amazon
54.240.51.0,,54.240.51.255,,Amazon
54.240.53.0,,54.240.53.255,,Amazon
54.240.197.0,,54.240.197.255,,Amazon
54.240.220.0,,54.240.223.255,,Amazon
54.246.0.0,,54.247.255.255,,Amazon
57.79.192.0,,57.79.207.255,,Equant 
62.9.0.0,,62.9.255.255,,MCI Communications  
62.12.36.16,,62.12.36.23,,Emperion 
62.17.0.0,,62.17.0.95,,MCI Communications  
62.17.0.112,,62.17.1.127,,MCI Communications  
62.17.1.160,,62.17.1.255,,MCI Communications  
62.17.3.0,,62.17.3.31,,MCI Communications  
62.17.3.48,,62.17.17.31,,MCI Communications  
62.17.17.48,,62.17.17.63,,MCI Communications  
62.17.17.128,,62.17.17.175,,MCI Communications  
62.17.17.208,,62.17.19.31,,MCI Communications  
62.17.19.128,,62.17.19.143,,MCI Communications  
62.17.19.160,,62.17.19.239,,MCI Communications  
62.17.20.48,,62.17.20.127,,MCI Communications  
62.17.20.192,,62.17.23.159,,MCI Communications  
62.17.23.192,,62.17.23.215,,MCI Communications  
62.17.23.224,,62.17.25.127,,MCI Communications  
62.17.25.160,,62.17.26.127,,MCI Communications  
62.17.26.144,,62.17.26.175,,MCI Communications  
62.17.26.184,,62.17.26.255,,MCI Communications  
62.17.28.0,,62.17.33.15,,MCI Communications  
62.17.33.28,,62.17.33.111,,MCI Communications  
62.17.33.128,,62.17.35.47,,MCI Communications  
62.17.35.64,,62.17.127.255,,MCI Communications  
62.17.129.0,,62.17.129.255,,MCI Communications  
62.17.131.0,,62.17.131.255,,MCI Communications  
62.17.132.32,,62.17.132.47,,MCI Communications  
62.17.132.64,,62.17.132.223,,MCI Communications  
62.17.132.240,,62.17.132.255,,MCI Communications  
62.17.134.0,,62.17.134.127,,MCI Communications  
62.17.134.160,,62.17.134.207,,MCI Communications  
62.17.134.224,,62.17.135.143,,MCI Communications  
62.17.135.160,,62.17.135.239,,MCI Communications  
62.17.136.0,,62.17.141.255,,MCI Communications  
62.17.142.32,,62.17.142.63,,MCI Communications  
62.17.142.80,,62.17.142.143,,MCI Communications  
62.17.142.160,,62.17.142.175,,MCI Communications  
62.17.143.0,,62.17.145.127,,MCI Communications  
62.17.145.192,,62.17.145.207,,MCI Communications  
62.17.145.224,,62.17.145.255,,MCI Communications  
62.17.146.16,,62.17.146.207,,MCI Communications  
62.17.146.240,,62.17.147.23,,MCI Communications  
62.17.147.32,,62.17.147.223,,MCI Communications  
62.17.148.0,,62.17.148.31,,MCI Communications  
62.17.148.48,,62.17.148.127,,MCI Communications  
62.17.148.144,,62.17.149.31,,MCI Communications  
62.17.149.64,,62.17.150.31,,MCI Communications  
62.17.150.64,,62.17.150.159,,MCI Communications  
62.17.150.176,,62.17.150.207,,MCI Communications  
62.17.150.224,,62.17.151.95,,MCI Communications  
62.17.151.112,,62.17.151.159,,MCI Communications  
62.17.151.176,,62.17.151.207,,MCI Communications  
62.17.151.224,,62.17.152.31,,MCI Communications  
62.17.152.48,,62.17.152.143,,MCI Communications  
62.17.152.192,,62.17.153.63,,MCI Communications  
62.17.153.80,,62.17.153.127,,MCI Communications  
62.17.153.192,,62.17.154.63,,MCI Communications  
62.17.154.80,,62.17.154.223,,MCI Communications  
62.17.155.0,,62.17.155.47,,MCI Communications  
62.17.155.64,,62.17.155.111,,MCI Communications  
62.17.155.160,,62.17.157.159,,MCI Communications  
62.17.157.192,,62.17.157.223,,MCI Communications  
62.17.157.240,,62.17.158.111,,MCI Communications  
62.17.158.128,,62.17.158.255,,MCI Communications  
62.17.159.16,,62.17.159.175,,MCI Communications  
62.17.159.208,,62.17.159.223,,MCI Communications  
62.17.160.0,,62.17.160.15,,MCI Communications  
62.17.160.48,,62.17.160.95,,MCI Communications  
